X,Y,OBJECTID,currentValueTime,currentValue,Name
-285656.259471231,6704915.77537443,5486,2016/02/09 05:00:00+00,0.609,Eastville
-292299.699288219,6699323.02851977,5487,2016/02/12 11:30:00+00,0.987,Ashton Vale
-287945.67407325,6702017.94952149,5488,2016/07/30 17:00:00+01,0.052,Bristol Harbour Passage Street
-285656.259471231,6704915.77537443,5489,2016/10/19 17:00:00+01,0.29,Eastville
-285656.259471231,6704915.77537443,5490,2016/10/20 05:00:00+01,0.288,Eastville
-285656.259471231,6704915.77537443,5491,2016/10/23 05:00:00+01,0.276,Eastville
-293204.769686181,6697303.4512554,5492,2016/10/28 10:00:00+01,0.015,Colliters Brook
-292299.699288219,6699323.02851977,5493,2016/10/30 04:00:00+00,0.94,Ashton Vale
-284252.393763688,6697912.39153731,5494,2016/11/02 04:00:00+00,0.103,Brislington
-284252.393763688,6697912.39153731,5495,2016/11/02 16:00:00+00,0.099,Brislington
-293204.769686181,6697303.4512554,5496,2016/11/05 09:00:00+00,0.036,Colliters Brook
-285656.259471231,6704915.77537443,5497,2016/11/09 04:00:00+00,0.322,Eastville
-284399.352004795,6701468.19484754,5498,2016/11/09 09:45:00+00,0.437,Netham Weir
-285656.259471231,6704915.77537443,5499,2016/11/15 07:45:00+00,0.333,Eastville
-285656.259471231,6704915.77537443,5500,2016/11/16 08:15:00+00,0.337,Eastville
-293204.769686181,6697303.4512554,5501,2016/11/18 09:00:00+00,0.558,Colliters Brook
-285656.259471231,6704915.77537443,5502,2016/11/19 22:45:00+00,0.39,Eastville
-287945.67407325,6702017.94952149,5503,2015/09/03 05:15:00+01,0.189,Bristol Harbour Passage Street
-287945.67407325,6702017.94952149,5504,2015/09/14 05:15:00+01,0.172,Bristol Harbour Passage Street
-293204.769686181,6697303.4512554,5505,2016/08/28 05:00:00+01,-0.011,Colliters Brook
-284399.352004795,6701468.19484754,5506,2015/09/21 13:15:00+01,0.425,Netham Weir
-293204.769686181,6697303.4512554,5507,2015/10/05 05:15:00+01,-0.009,Colliters Brook
