X,Y,FID,datetime,siteid,tc_cfu,ec_cfu,tc_mpn,ec_mpn,p_ecc_cfu,fs_cfu,temp,ph,cond,do,dopc,phosphate_,salinity,clost_perf,ammonium_n,turb,ammonium_1,nitrite,nitrate,fcoliforms,bod,cod,sussolids,id,sitename,river,total_coli,total_ecol
-289186.4951,6701627.563,8469,2020/11/03 09:40:00+00,d4,6440,1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11128,St Augustines Reach,Floating Harbour,6440,1870
-289036.1314,6701008.409,8470,2020/11/17 10:20:00+00,d5,24600,9700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11144,Prince Street Bridge,Floating Harbour,24600,9700
-291720.9616,6700950.118,8471,2020/11/24 10:26:00+00,d13,700,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11152,Cumberland Basin (centre),Floating Harbour,700,180
-291293.9654,6700743.108,8472,2020/12/01 11:00:00+00,d1,2380,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11154,Baltic Wharf,Floating Harbour,2380,336
-289036.1314,6701008.409,8473,2020/12/08 10:40:00+00,d5,14700,4390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11161,Prince Street Bridge,Floating Harbour,14700,4390
-288531.5121,6701217.017,8474,2020/12/08 10:45:00+00,d18,13200,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11162,Redcliffe Bridge,Floating Harbour,13200,3410
-288457.3322,6701943.483,8475,2020/11/24 10:58:38+00,d9,0,0,0,0,0,0,9.6,8.19,658,16.11,0,0,0.32,0,0,0,0,0,0,0,0,0,0,11174,Bristol Bridge,Floating Harbour,0,0
-291293.9654,6700743.108,8476,2020/12/08 10:16:35+00,d1,0,0,0,0,0,0,6.3,8.02,654,17.74,0,0,0.32,0,0,0,0,0,0,0,0,0,0,11187,Baltic Wharf,Floating Harbour,0,0
-291720.9616,6700950.118,8477,2020/12/08 10:21:00+00,d13,0,0,0,0,0,0,0,0,0,0,142.2,0,0,0,0,0,0,0,0,0,0,0,0,11197,Cumberland Basin (centre),Floating Harbour,0,0
-289036.1314,6701008.409,8478,2021/01/19 10:55:00+00,d5,3170,1580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11223,Prince Street Bridge,Floating Harbour,3170,1580
